Hindi,English
rom,Rome
badan,body
phailā,Splash
phẽk,Throw
pichṛe,Backward
pariśram,labor
parivārõ,Families
paribhāṣā,Definition
prārambhik,Initial
puruṣõ,Men
nirīkṣaṇ,inspection
dās,Slave
dev,God
tākat,Strength
tantra,Mechanism
tatkālīn,contemporaneous
taknīk,Technique
calāne,Run
gaṭhan,Build
anubhūti,Feeling
hinduõ,Hindus
hindū,Hindu
hālāṅki,Although
sāmūhik,the collective
sarkārõ,Governments
sañyantra,plant
sundar,Beautiful
sŕjan,Creation
vaisī,Likely
lāvnī,Lavani
lakṣaṇõ,Symptoms
rāhuljī,Rahul ji
yuvā,Youth
mūrti,statue
ber,Berry
pāṇḍu,Pandu
dhrupad,Dhrupad
tathyõ,Facts
ḍher,heap
jāyẽ,Go
granthõ,Scriptures
gaṇit,Mathematic
kahāniyõ,Stories
aśok,Ashoka
sābit,Proven
samajhnā,Understand
sañjñā,Noun
śānt,Calm
śrīlaṅkā,Sri Lanka
śramik,Laborer
śart,Condition
lipi,Script
mānvīya,human
pakṣiyõ,Birds
nivāsī,Resident
tulnātmak,Comparative
camak,Glow
gol,Round
khākar,after eating
koṭ,Coat
iñc,Inch
āsan,Posture
akelā,alone
śarmā,Sharma
viśvavidyālay,university
vidhāyak,Legislator
varmā,Varma
vaidya,Vaidya
rājasthānī,Rajasthani
mānnā,Accept
bharpūr,abundant
bhagat,follower
bastī,colony
baiṭhne,Sit
pratibhā,Talent
prajā,People
prakop,the outbreak
nāyak,hero
dost,Friend
tivārī,Tiwari
ghaṛī,Watch
galtī,Mistake
kārban,Carbon
upcār,treatment
īsāī,Christian
āvedan,Application
āyurved,Ayurveda
ādar,Respect
atyācār,Atrocity
himālay,Himalaya
hans,Swan
soctā,Thinking
viśvanāth,Vishwanath
vetan,Salary
mathurā,Mathura
bhābhī,Sister in law
bheje,Sent
byūro,Bureau
bantī,Manufacture
pakṣõ,Sides
gharelū,domestic
gaṇnā,Calculation
kahlātā,Calling
kalāvtī,Kalavati
karnā,to do
udāharṇārth,For example
uṛ,Flying
āghāt,the strokes
hamlā,assault
vyāvsāyik,commercial
lokapriya,popular
relve,railway
miśrit,miscellaneous
mahān,Great
mehnat,Hard work
bindu,the dot
phaltaḥ,As a result
prophesar,Professor
praclan,the trend
ausat,average
ekāek,Suddenly
upasthiti,appearance
unnati,Development
ādhe,Half
alī,Ali
sarasvatī,Saraswati
samarth,Capable
sambhavtaḥ,Probably
saṛkõ,Roads
viśeṣajña,expert
vidroh,Rebellion
vāt,vata
vyast,Busy
lākar,Lacquer
rāv,Rao
yojnāõ,Plans
mantra,mantra
batāne,tell
batāte,Telling
praśnõ,Questions
pakṛā,caught
noṭ,Note
nivedan,Request
nyāy,Justice
dhūl,dust
dāne,Grain
dān,Donation
devīgaṛh,Devigarh
taral,liquid
koriyāī,Korean
kilomīṭar,Kilometer
kitāb,Book
kṣamā,Forgiveness
iñjan,engine
āe,Returns
asphal,fail
halkī,Mild
sāvitrī,Savitri
sardār,Sardar
sagarbhatā,Sarginess
śubh,auspicious
lahar,Wave
lekhā,Account
māsik,Monthly
madrās,Madras
maṅgal,Fortunate
bhalī,Good
bhejne,Send
bijlīghar,Electricity house
banātā,Create
pavitra,Holy
pariṣad,council
pari,fairy
pūchā,Asked
naukar,Servant
nikālkar,by removing
nāsikya,Nashikya
tāpmān,temperature
tarīkā,Method
jhūṭh,Lie
jātī,Jet
chuṭṭī,Holiday
ghāṭ,Ghat
gobar,Cow dung
kāmõ,Works
kaśmīr,Kashmir
ūñcī,High
unnat,Advanced
ājād,Azad
āgrah,request
amŕtsar,Amritsar
anu,Anu
adbhut,Wonderful
ataḥ,Therefore
sikhõ,Sikhs
sādhu,Saint
sandeś,Message
likhit,written
lep,Paste
maryādā,dignity
mej,Table
mukhyataḥ,Mainly
bhājpā,B J P
bekār,Useless
paidāvār,yield
nāś,Destruction
dalõ,Parties
jāpān,Japan
gopāl,Gopal
kośikāõ,Cells
kāṭne,Cutting
kūd,Jump
updeś,Sermon
uṛān,flight
antrikṣ,space
sahsā,Suddenly
vyās,Diameter
mitrõ,Friends
bhog,Indulgence
bulā,Call
prātaḥ,In the morning
paṛhā,Read
paṛhte,Reading
ghoṛā,Horse
guphā,Cave
khul,Open
khurāk,diet
upāyõ,Measures
upyogitā,utility
ilāj,Treatment
āvāz,sound
ālū,Potato
haṭā,Remove
svastik,Swastika
samīkṣā,Review
saṅkramaṇ,Infection
saikṛõ,Hundreds
śor,Noise
śabdāvlī,vocabulary
yaugik,compound
manā,deny
maṇḍal,Board
bacne,Escape
premnāth,Premnath
param,Supreme
nidhi,Fund
netājī,Netaji
cunautī,challenge
gautam,Gautam
khiṛkī,window
kismẽ,Varieties
karte,Do
kaṭāī,Harvesting
asādhāraṇ,Extraordinary
smaraṇ,Reconciliation
samagra,Overall
sunī,Listening
reḍiyo,radio
māmūlī,Mild
bīmār,Sick
phāydā,Benefit
purāṇõ,Puranas
prastāvõ,Proposals
pradhāntā,Primacy
pandrah,Fifteen
nāv,boat
tulph,Tulf
tatkāl,Immediately
joṛā,couple
cāl,move
cūhe,mice
calnā,Walking
gāyā,Sung
galā,throat
khair,well
korṭ,Court
karānā,Do
kampnī,company
isne,He
inko,To them
arthavyavasthā,economy
añcal,Zone
halkā,Light
suniścit,ensure
varnā,Otherwise
buniyādī,Basic
dainik,Dainty
juṛe,Linked
ghus,Penetration
khulī,open
kumār,Kumar
kumāū̃,Kumaon
āṅgan,Courtyard
